Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH
2000-01-14,41.79,70.46177160735236,9.13,108.03189558955894,50.76,11.05,18.68,38.5,27.81,23.57,25.502158111652303,12.74,5.88,26.389235555555558,1.65,99.51924327912378,3.01,7.48,4.42,122.66302551640341,74.69415338819822,25.87,34.68,21.92,29.75,30.07,35.5,15.94,16.44,14.5,4.52,8.48,15.71,25.2,12.01,6.29,22.0,19.09,7.1,80.08942573163998,1316916.0,7731183.848259679,11217621.0,815553.501350135,8971200.0,4230618.0,647493.0,2877900.0,4535936.0,1855800.0,2900325.4589733984,13150200.0,244800.0,2789205.2,38908800.0,2636078.194490541,1209210.0,1429000.0,1019600.0,1074639.611178615,4051756.163544038,5404800.0,3750300.0,1055400.0,5759600.0,5806130.0,47100.0,17055828.0,569200.0,236200.0,999200.0,422400.0,895200.0,167800.0,274400.0,9292800.0,550800.0,2048700.0,1164000.0,1580886.2790355238
2000-01-18,43.7,70.46177160735236,8.94,108.03189558955894,51.32,10.91,18.72,35.69,27.03,23.1,25.502158111652303,12.78,5.99,26.389235555555558,1.64,99.51924327912378,3.05,7.82,4.28,122.66302551640341,74.69415338819822,25.22,34.17,22.28,30.09,28.73,35.12,15.73,17.06,17.0,4.78,8.29,16.0,25.6,11.86,6.02,21.22,18.97,6.95,80.08942573163998,2101753.0,7731183.848259679,11348831.0,815553.501350135,8658100.0,2381149.0,927318.0,3359400.0,3782399.0,1778400.0,2900325.4589733984,5487000.0,485200.0,2789205.2,38672000.0,2636078.194490541,1677390.0,776600.0,3671600.0,1074639.611178615,4051756.163544038,4870000.0,2082900.0,1328700.0,5947800.0,5554086.0,87500.0,11459615.0,745600.0,351300.0,903200.0,216600.0,1206400.0,112900.0,520300.0,5514400.0,268000.0,1563000.0,540000.0,1580886.2790355238
2000-01-19,42.78,70.46177160735236,8.75,108.03189558955894,53.5,10.89,19.36,40.33,26.52,22.64,25.502158111652303,12.71,5.96,26.389235555555558,1.5,99.51924327912378,2.82,7.25,4.22,122.66302551640341,74.69415338819822,25.3,34.4,21.76,30.47,29.01,35.31,15.94,17.36,16.25,4.89,7.92,16.2,25.38,11.71,6.07,21.09,19.58,6.92,80.08942573163998,2624885.0,7731183.848259679,16849822.0,815553.501350135,12070900.0,2603910.0,911020.0,2685000.0,4188481.0,2131500.0,2900325.4589733984,4270800.0,741600.0,2789205.2,81686400.0,2636078.194490541,1005210.0,1220100.0,2106800.0,1074639.611178615,4051756.163544038,5507400.0,2193700.0,889100.0,4288100.0,4990157.0,117400.0,10596389.0,662400.0,314800.0,996800.0,232600.0,706400.0,74900.0,660200.0,7730400.0,638000.0,1985000.0,622200.0,1580886.2790355238
2000-01-20,41.63,70.46177160735236,8.49,108.03189558955894,53.36,10.58,18.98,40.9,25.61,22.2,25.502158111652303,11.99,5.99,26.389235555555558,1.5,99.51924327912378,2.92,7.03,4.12,122.66302551640341,74.69415338819822,25.39,33.91,20.98,29.84,29.59,34.88,15.68,18.06,15.25,5.16,7.87,15.97,24.75,11.91,6.22,22.14,19.58,6.72,80.08942573163998,2007947.0,7731183.848259679,15429241.0,815553.501350135,9460900.0,5330431.0,770903.0,15550500.0,4610534.0,1741500.0,2900325.4589733984,9132000.0,332000.0,2789205.2,39651200.0,2636078.194490541,1096500.0,1744500.0,1270400.0,1074639.611178615,4051756.163544038,4823400.0,2136400.0,1538800.0,6083200.0,5225642.0,84400.0,8411342.0,998400.0,189800.0,563200.0,233200.0,1147600.0,106700.0,556000.0,8457600.0,550000.0,2603900.0,1163400.0,1580886.2790355238
2000-01-21,42.02,70.46177160735236,8.26,108.03189558955894,55.5,10.53,19.66,49.25,25.33,21.8,25.502158111652303,12.27,5.99,26.389235555555558,1.49,99.51924327912378,2.86,7.08,4.09,122.66302551640341,74.69415338819822,24.82,32.87,20.88,29.54,29.39,34.88,15.11,18.7,14.62,5.81,7.69,15.95,23.95,11.86,5.96,24.59,19.42,6.88,80.08942573163998,1918336.0,7731183.848259679,18903505.0,815553.501350135,8154300.0,5988773.0,1310873.0,9227100.0,5863769.0,2500200.0,2900325.4589733984,7913600.0,960000.0,2789205.2,25081600.0,2636078.194490541,786420.0,1670100.0,461600.0,1074639.611178615,4051756.163544038,8538000.0,4051000.0,1622000.0,6105200.0,8309487.0,55000.0,13022802.0,1146800.0,393200.0,1504000.0,272200.0,666800.0,123100.0,1097200.0,12880800.0,1096000.0,2091200.0,1942800.0,1580886.2790355238
2000-01-24,41.86,70.46177160735236,7.94,108.03189558955894,51.46,10.28,19.02,45.77,24.29,21.03,25.502158111652303,12.25,6.0,26.389235555555558,1.32,99.51924327912378,2.94,7.2,4.02,122.66302551640341,74.69415338819822,23.11,31.54,20.67,29.2,28.5,34.62,14.81,18.78,14.59,5.85,7.45,16.0,23.1,12.01,5.63,24.09,18.81,7.02,80.08942573163998,2095882.0,7731183.848259679,20606554.0,815553.501350135,9853500.0,3413582.0,878528.0,4815300.0,5113278.0,1619400.0,2900325.4589733984,6917600.0,371200.0,2789205.2,51062400.0,2636078.194490541,843540.0,1001400.0,758400.0,1074639.611178615,4051756.163544038,11304200.0,4206900.0,799200.0,5749800.0,5438177.0,74000.0,13734463.0,798200.0,292200.0,1003200.0,268300.0,2412400.0,179500.0,658900.0,9503200.0,549200.0,1712600.0,1599900.0,1580886.2790355238
2000-01-25,41.37,70.46177160735236,7.84,108.03189558955894,51.55,10.06,18.55,45.29,24.78,20.9,25.502158111652303,12.09,6.06,26.389235555555558,1.35,99.51924327912378,2.76,7.03,3.78,122.66302551640341,74.69415338819822,23.54,31.64,18.28,30.22,28.75,34.19,15.03,18.88,14.56,5.32,7.45,15.67,23.55,12.12,5.63,22.12,18.44,6.95,80.08942573163998,1153769.0,7731183.848259679,22725507.0,815553.501350135,11251900.0,7155967.0,694233.0,4178100.0,6337724.0,1553700.0,2900325.4589733984,3447000.0,1643200.0,2789205.2,38486400.0,2636078.194490541,1060290.0,994500.0,5472800.0,1074639.611178615,4051756.163544038,12956800.0,3148700.0,4931900.0,3742800.0,5707513.0,70800.0,9903595.0,786200.0,98100.0,2020000.0,274700.0,1373200.0,110900.0,878400.0,8416000.0,620800.0,1878800.0,1480200.0,1580886.2790355238
2000-01-26,41.75,70.46177160735236,7.86,108.03189558955894,47.65,10.06,18.29,47.79,25.45,21.27,25.502158111652303,12.11,6.81,26.389235555555558,1.29,99.51924327912378,2.65,7.14,3.98,122.66302551640341,74.69415338819822,23.06,31.86,18.02,31.28,29.54,33.94,15.03,18.93,14.06,5.1,8.01,15.6,23.01,12.78,5.62,22.12,18.97,7.02,80.08942573163998,1022357.0,7731183.848259679,14037397.0,815553.501350135,16000800.0,9850823.0,724163.0,3650700.0,6858749.0,2623200.0,2900325.4589733984,3412200.0,1582000.0,2789205.2,29126400.0,2636078.194490541,327930.0,821500.0,2132400.0,1074639.611178615,4051756.163544038,9491400.0,2233100.0,1739800.0,6589300.0,5614660.0,29900.0,7728771.0,471800.0,97500.0,1252000.0,648500.0,947200.0,98000.0,1525400.0,8797600.0,777200.0,1614400.0,594600.0,1580886.2790355238
2000-01-27,41.82,70.46177160735236,8.16,108.03189558955894,45.6,10.93,19.02,43.42,25.76,21.18,25.502158111652303,11.89,6.24,26.389235555555558,1.19,99.51924327912378,2.65,6.91,3.91,122.66302551640341,74.69415338819822,22.23,32.62,17.35,31.49,30.07,33.19,14.86,19.52,13.38,4.77,7.83,15.54,22.96,13.55,5.53,21.03,18.89,7.04,80.08942573163998,868577.0,7731183.848259679,16105783.0,815553.501350135,14797000.0,11235623.0,872070.0,1650600.0,7669339.0,1484400.0,2900325.4589733984,2785400.0,1392000.0,2789205.2,23321600.0,2636078.194490541,1017960.0,421200.0,740400.0,1074639.611178615,4051756.163544038,12406600.0,3052200.0,3096400.0,4539700.0,8119066.0,49200.0,9058708.0,901200.0,184100.0,848800.0,274600.0,588400.0,179500.0,1427900.0,9053600.0,560600.0,1420800.0,715200.0,1580886.2790355238
2000-01-28,41.59,70.46177160735236,8.44,108.03189558955894,44.35,10.87,18.08,42.75,26.59,21.22,25.502158111652303,12.38,6.36,26.389235555555558,1.17,99.51924327912378,2.57,6.91,4.0,122.66302551640341,74.69415338819822,23.34,33.16,16.72,30.39,30.98,32.31,15.16,19.77,12.56,4.69,7.59,12.82,22.88,13.35,5.37,20.86,18.69,7.15,80.08942573163998,1609238.0,7731183.848259679,13831338.0,815553.501350135,10899900.0,7589338.0,830865.0,1899600.0,7592640.0,2543700.0,2900325.4589733984,4434400.0,1078000.0,2789205.2,44937600.0,2636078.194490541,1465230.0,1775700.0,723600.0,1074639.611178615,4051756.163544038,12340000.0,4284500.0,1084000.0,3981200.0,10294504.0,76800.0,11834628.0,1041400.0,211000.0,2183200.0,321200.0,8204000.0,189100.0,723000.0,12754400.0,312600.0,1694200.0,907800.0,1580886.2790355238
