Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2000-01-03,15.33,57.52227580372251,14.68,11.64,18.9,42.12,13.17,32.23478494623656,12.09,21.49,22.85,140500.0,4355881.895093063,380300.0,1185699.0,82800.0,938100.0,634300.0,4051979.0322580645,176700.0,246700.0,212900.0
2000-01-04,15.18,57.52227580372251,14.4,11.13,18.38,39.98,12.8,32.23478494623656,11.72,21.0,22.17,258000.0,4355881.895093063,722200.0,885705.0,146900.0,545500.0,172000.0,4051979.0322580645,93500.0,35300.0,177200.0
2000-01-05,15.81,57.52227580372251,14.78,11.04,18.3,39.39,13.03,32.23478494623656,12.02,20.81,21.89,102700.0,4355881.895093063,337800.0,717181.0,129200.0,1906000.0,343600.0,4051979.0322580645,273400.0,137600.0,124600.0
2000-01-06,16.22,57.52227580372251,15.35,11.53,18.54,38.08,13.27,32.23478494623656,12.0,20.88,22.14,1335000.0,4355881.895093063,133100.0,415832.0,54000.0,1670000.0,420800.0,4051979.0322580645,34500.0,50000.0,135800.0
2000-01-07,16.21,57.52227580372251,15.52,11.72,19.25,38.75,14.11,32.23478494623656,12.1,21.13,23.19,620100.0,4355881.895093063,468000.0,468149.0,32900.0,686000.0,337100.0,4051979.0322580645,46200.0,22100.0,70000.0
2000-01-10,16.15,57.52227580372251,15.39,11.51,19.25,40.22,13.8,32.23478494623656,12.14,23.29,23.07,171200.0,4355881.895093063,122100.0,460640.0,122500.0,1020500.0,451700.0,4051979.0322580645,15500.0,31800.0,41900.0
2000-01-11,15.96,57.52227580372251,15.4,11.32,19.0,39.08,13.8,32.23478494623656,12.01,22.67,22.94,39700.0,4355881.895093063,144800.0,476151.0,109800.0,1411300.0,142900.0,4051979.0322580645,25700.0,17900.0,29600.0
2000-01-12,15.73,57.52227580372251,15.33,11.55,18.78,38.91,13.87,32.23478494623656,11.89,22.3,22.81,135300.0,4355881.895093063,57300.0,143288.0,39900.0,1983200.0,84300.0,4051979.0322580645,36700.0,12400.0,53100.0
2000-01-13,15.79,57.52227580372251,15.6,11.9,19.14,39.27,13.94,32.23478494623656,11.78,22.96,22.93,45900.0,4355881.895093063,149200.0,1104576.0,189700.0,1193000.0,233800.0,4051979.0322580645,139600.0,600000.0,70600.0
2000-01-14,15.68,57.52227580372251,15.51,12.17,19.0,40.17,13.99,32.23478494623656,11.87,22.76,22.87,76000.0,4355881.895093063,35700.0,731583.0,5700.0,1383900.0,76100.0,4051979.0322580645,45700.0,23600.0,102600.0
2000-01-18,15.3,57.52227580372251,15.7,11.77,18.98,40.38,13.75,32.23478494623656,11.83,22.34,22.74,34400.0,4355881.895093063,110500.0,466180.0,83600.0,550800.0,218300.0,4051979.0322580645,46000.0,417300.0,53800.0
2000-01-19,15.01,57.52227580372251,15.64,11.73,18.92,40.45,13.85,32.23478494623656,11.83,22.87,22.69,125700.0,4355881.895093063,190300.0,339510.0,62800.0,790400.0,137800.0,4051979.0322580645,26000.0,10400.0,113800.0
2000-01-20,14.61,57.52227580372251,15.64,11.51,18.8,40.69,13.66,32.23478494623656,11.89,22.7,22.38,99400.0,4355881.895093063,344300.0,588172.0,49600.0,1095600.0,425500.0,4051979.0322580645,112500.0,64200.0,161400.0
2000-01-21,14.68,57.52227580372251,16.08,11.37,18.56,40.74,13.51,32.23478494623656,12.27,22.65,21.92,180100.0,4355881.895093063,483300.0,498309.0,45700.0,1434700.0,345000.0,4051979.0322580645,201100.0,37300.0,170200.0
2000-01-24,14.29,57.52227580372251,15.51,11.16,18.03,39.41,13.12,32.23478494623656,12.11,21.98,21.1,190900.0,4355881.895093063,296500.0,346773.0,51600.0,568900.0,278200.0,4051979.0322580645,64300.0,72100.0,5100.0
2000-01-25,14.02,57.52227580372251,15.47,11.28,17.93,40.25,12.95,32.23478494623656,11.83,22.13,21.23,63400.0,4355881.895093063,57800.0,231674.0,89700.0,2982400.0,85000.0,4051979.0322580645,56900.0,24400.0,63000.0
2000-01-26,14.02,57.52227580372251,15.23,11.7,18.07,38.94,13.07,32.23478494623656,11.77,22.03,21.38,300700.0,4355881.895093063,46900.0,630518.0,93400.0,839300.0,385500.0,4051979.0322580645,31400.0,10500.0,38100.0
2000-01-27,14.1,57.52227580372251,14.92,11.83,18.17,38.56,13.32,32.23478494623656,11.69,21.9,21.33,54300.0,4355881.895093063,1688800.0,262572.0,156000.0,1238100.0,67800.0,4051979.0322580645,18700.0,10700.0,119100.0
2000-01-28,13.86,57.52227580372251,14.75,11.42,17.69,37.18,13.21,32.23478494623656,11.63,21.45,20.48,29400.0,4355881.895093063,33100.0,170986.0,17600.0,2457000.0,37100.0,4051979.0322580645,28400.0,18100.0,12400.0
2000-01-31,13.77,57.52227580372251,15.09,11.74,17.82,38.41,13.45,32.23478494623656,12.17,21.35,20.64,16300.0,4355881.895093063,101600.0,541763.0,45700.0,1312300.0,195800.0,4051979.0322580645,414800.0,27500.0,10800.0
2000-02-01,14.02,57.52227580372251,15.06,11.8,17.69,39.22,13.32,32.23478494623656,12.08,21.63,21.38,42700.0,4355881.895093063,114200.0,332001.0,5500.0,474900.0,104000.0,4051979.0322580645,23200.0,161600.0,129900.0
2000-02-02,14.09,57.52227580372251,15.15,11.68,17.7,39.5,13.34,32.23478494623656,12.02,22.16,21.24,49000.0,4355881.895093063,29400.0,399829.0,3500.0,534700.0,72700.0,4051979.0322580645,14500.0,7700.0,5300.0
2000-02-03,13.85,57.52227580372251,14.97,11.61,17.69,40.64,13.16,32.23478494623656,12.0,22.36,21.33,183800.0,4355881.895093063,96800.0,350220.0,107900.0,1244600.0,87900.0,4051979.0322580645,96100.0,31500.0,26200.0
2000-02-04,13.83,57.52227580372251,14.54,11.49,17.77,41.12,13.15,32.23478494623656,11.94,22.44,21.29,105000.0,4355881.895093063,65600.0,216533.0,31400.0,691700.0,137500.0,4051979.0322580645,19300.0,11300.0,23100.0
2000-02-07,13.56,57.52227580372251,14.7,11.37,17.46,41.59,13.14,32.23478494623656,11.9,22.08,20.84,49100.0,4355881.895093063,55300.0,91586.0,43800.0,655300.0,31600.0,4051979.0322580645,23000.0,36400.0,20800.0
2000-02-08,13.52,57.52227580372251,14.57,11.5,17.53,41.97,13.3,32.23478494623656,11.93,22.32,21.31,134700.0,4355881.895093063,99400.0,608483.0,119600.0,886000.0,314700.0,4051979.0322580645,32600.0,265000.0,205700.0
2000-02-09,13.26,57.52227580372251,14.09,11.23,17.35,41.45,13.18,32.23478494623656,11.93,21.92,20.96,33500.0,4355881.895093063,86200.0,223550.0,58400.0,1623300.0,90900.0,4051979.0322580645,16300.0,19000.0,28600.0
2000-02-10,13.15,57.52227580372251,14.38,10.92,17.05,42.44,12.74,32.23478494623656,11.76,21.73,20.77,131100.0,4355881.895093063,615000.0,641474.0,65200.0,1157600.0,149100.0,4051979.0322580645,83200.0,5000.0,10100.0
2000-02-11,12.82,57.52227580372251,14.21,10.94,16.69,41.31,12.49,32.23478494623656,11.55,21.74,20.47,24300.0,4355881.895093063,207800.0,588664.0,50400.0,1002100.0,166800.0,4051979.0322580645,92500.0,9200.0,33000.0
